t		|				r1			|			v1				|				r2			|			v2				|				r3			|			v3				|
  1249.90	|	 15596.01 26460.84 36633.46	|	    15.26    19.99    25.59	|	 12223.33 24640.70 36096.48	|	    14.69     8.77    67.31	|	 13113.19 23341.59 35233.40	|	   -26.76    41.55    27.02	|
  1259.90	|	 15745.49 26658.31 36888.47	|	    14.64    19.51    25.43	|	 12394.48 24731.45 36765.43	|	    19.48     9.41    66.24	|	 12852.08 23778.00 35516.17	|	   -25.37    45.67    29.67	|
  1269.90	|	 15888.71 26851.16 37142.20	|	    14.00    19.06    25.33	|	 12610.87 24830.51 37417.41	|	    23.67    10.54    64.03	|	 12608.46 24252.49 35828.89	|	   -23.21    49.06    32.90	|
  1279.90	|	 16025.53 27039.61 37395.20	|	    13.36    18.63    25.28	|	 12865.52 24944.98 38045.01	|	    27.17    12.48    61.50	|	 12390.52 24755.62 36173.31	|	   -20.29    51.40    35.88	|
  1289.90	|	 16155.94 27223.88 37648.03	|	    12.72    18.23    25.29	|	 13153.21 25081.96 38647.96	|	    30.33    14.98    59.11	|	 12203.87 25277.95 36543.99	|	   -17.02    52.96    38.14	|
  1299.90	|	 16279.94 27404.21 37901.28	|	    12.08    17.84    25.36	|	 13471.82 25245.41 39227.49	|	    33.38    17.74    56.78	|	 12050.37 25813.27 36934.02	|	   -13.69    54.04    39.78	|
  1309.90	|	 16397.63 27580.80 38155.50	|	    11.46    17.48    25.49	|	 13820.55 25437.23 39783.19	|	    36.36    20.64    54.32	|	 11929.96 26357.61 37338.04	|	   -10.41    54.78    40.96	|
  1319.90	|	 16509.14 27753.84 38411.29	|	    10.85    17.13    25.68	|	 14198.73 25658.49 40312.89	|	    39.26    23.63    51.56	|	 11841.97 26907.98 37752.25	|	    -7.21    55.25    41.83	|
  1329.90	|	 16614.65 27923.49 38669.28	|	    10.26    16.80    25.93	|	 14605.38 25910.07 40813.08	|	    42.04    26.70    48.39	|	 11785.46 27461.86 38173.89	|	    -4.11    55.49    42.46	|
  1339.90	|	 16714.42 28089.90 38930.16	|	     9.70    16.48    26.26	|	 15039.03 26192.81 41279.05	|	    44.65    29.86    44.70	|	 11759.34 28016.96 38600.86	|	    -1.13    55.50    42.90	|
  1349.90	|	 16808.79 28253.19 39194.66	|	     9.18    16.18    26.66	|	 15497.50 26507.50 41705.02	|	    46.99    33.09    40.37	|	 11762.44 28571.24 39031.46	|	     1.73    55.32    43.19	|
  1359.90	|	 16898.19 28413.47 39463.63	|	     8.71    15.88    27.15	|	 15977.65 26854.85 42083.98	|	    48.96    36.38    35.28	|	 11793.51 29122.80 39464.31	|	     4.46    54.96    43.36	|
  1369.90	|	 16983.21 28570.89 39738.02	|	     8.31    15.60    27.74	|	 16474.88 27235.25 42407.60	|	    50.37    39.69    29.28	|	 11851.20 29669.97 39898.26	|	     7.05    54.45    43.42	|
  1379.90	|	 17064.66 28725.60 40018.91	|	     8.00    15.34    28.45	|	 16982.47 27648.44 42666.11	|	    50.98    42.92    22.23	|	 11934.12 30211.25 40332.34	|	     9.51    53.79    43.39	|
  1389.90	|	 17143.67 28877.90 40307.49	|	     7.83    15.12    29.29	|	 17490.54 28092.88 42848.32	|	    50.40    45.91    14.01	|	 12040.86 30745.32 40765.73	|	    11.82    53.01    43.28	|
  1399.90	|	 17221.82 29028.26 40605.04	|	     7.84    14.96    30.25	|	 17984.73 28564.78 42942.21	|	    48.10    48.35     4.58	|	 12169.97 31271.05 41197.78	|	    13.98    52.12    43.12	|
  1409.90	|	 17301.32 29177.56 40912.76	|	     8.11    14.92    31.31	|	 18444.49 29056.48 42936.56	|	    43.39    49.77    -5.83	|	 12320.03 31787.46 41627.91	|	    16.01    51.15    42.90	|
  1419.90	|	 17385.09 29327.23 41231.37	|	     8.71    15.05    32.41	|	 18842.00 29554.45 42824.54	|	    35.54    49.47   -16.52	|	 12489.62 32293.75 42055.71	|	    17.89    50.10    42.65	|
  1429.90	|	 17476.68 29479.44 41560.51	|	     9.67    15.44    33.38	|	 19143.36 30037.48 42610.17	|	    24.15    46.66   -25.99	|	 12677.35 32789.28 42480.82	|	    19.64    49.00    42.37	|
  1439.90	|	 17579.57 29637.08 41897.93	|	    10.94    16.14    34.02	|	 19315.21 30477.57 42316.16	|	     9.86    40.86   -32.06	|	 12881.90 33273.54 42902.96	|	    21.25    47.85    42.06	|
  1449.90	|	 17695.89 29803.02 42239.20	|	    12.31    17.09    34.13	|	 19337.60 30846.13 41987.04	|	    -5.29    32.53   -32.78	|	 13102.02 33746.19 43321.93	|	    22.75    46.67    41.73	|
  1459.90	|	 17825.20 29979.16 42578.62	|	    13.50    18.14    33.67	|	 19215.94 31124.58 41679.65	|	   -18.51    23.14   -27.83	|	 13336.52 34206.97 43737.52	|	    24.13    45.48    41.39	|
  1469.90	|	 17964.59 30165.68 42911.20	|	    14.31    19.14    32.80	|	 18980.35 31311.24 41444.08	|	   -27.89    14.42   -18.79	|	 13584.33 34655.72 44149.57	|	    25.41    44.27    41.02	|
  1479.90	|	 18110.02 30361.31 43234.01	|	    14.71    19.96    31.75	|	 18672.15 31418.81 41309.83	|	   -33.10     7.42    -7.93	|	 13844.41 35092.33 44557.91	|	    26.59    43.05    40.64	|
  1489.90	|	 18257.73 30564.15 43546.23	|	    14.78    20.58    30.70	|	 18329.82 31466.34 41285.42	|	   -34.88     2.40     2.95	|	 14115.81 35516.73 44962.38	|	    27.68    41.83    40.25	|
  1499.90	|	 18404.91 30772.33 43848.38	|	    14.62    21.03    29.75	|	 17982.45 31472.62 41365.79	|	   -34.27    -0.88    12.92	|	 14397.64 35928.86 45362.83	|	    28.68    40.60    39.84	|
  1509.90	|	 18549.68 30984.31 44141.60	|	    14.32    21.34    28.92	|	 17649.54 31453.21 41539.67	|	   -32.11    -2.80    21.63	|	 14689.05 36328.71 45759.14	|	    29.59    39.37    39.42	|
  1519.90	|	 18690.92 31198.88 44427.19	|	    13.92    21.56    28.22	|	 17343.26 31420.04 41794.18	|	   -29.03    -3.69    29.06	|	 14989.24 36716.25 46151.21	|	    30.43    38.14    38.99	|
  1529.90	|	 18827.99 31415.18 44706.39	|	    13.48    21.69    27.64	|	 17070.80 31381.90 42116.96	|	   -25.40    -3.83    35.31	|	 15297.49 37091.48 46538.96	|	    31.20    36.91    38.56	|
  1539.90	|	 18960.54 31632.56 44980.31	|	    13.02    21.77    27.16	|	 16836.20 31345.26 42497.00	|	   -21.49    -3.42    40.54	|	 15613.09 37454.41 46922.32	|	    31.91    35.68    38.11	|
  1549.90	|	 19088.43 31850.54 45249.90	|	    12.56    21.82    26.77	|	 16641.50 31314.85 42924.80	|	   -17.44    -2.60    44.88	|	 15935.42 37805.06 47301.23	|	    32.55    34.45    37.67	|
  1559.90	|	 19211.65 32068.77 45515.99	|	    12.09    21.83    26.46	|	 16487.60 31294.21 43392.18	|	   -13.34    -1.48    48.48	|	 16263.86 38143.46 47675.61	|	    33.13    33.23    37.21	|
  1569.90	|	 19330.22 32286.99 45779.27	|	    11.63    21.81    26.21	|	 16374.65 31286.04 43892.16	|	    -9.25    -0.12    51.42	|	 16597.85 38469.61 48045.41	|	    33.66    32.00    36.75	|
  1579.90	|	 19444.22 32504.96 46040.38	|	    11.18    21.78    26.02	|	 16302.42 31292.44 44418.66	|	    -5.20     1.43    53.79	|	 16936.85 38783.54 48410.55	|	    34.13    30.78    36.28	|
  1589.90	|	 19553.76 32722.54 46299.83	|	    10.73    21.73    25.88	|	 16270.43 31315.13 44966.36	|	    -1.21     3.13    55.67	|	 17280.33 39085.28 48770.95	|	    34.55    29.56    35.80	|
  1599.90	|	 19658.94 32939.56 46558.11	|	    10.30    21.67    25.78	|	 16278.09 31355.54 45530.54	|	     2.73     4.97    57.10	|	 17627.77 39374.83 49126.54	|	    34.93    28.35    35.32	|
  1609.90	|	 19759.88 33155.90 46815.67	|	     9.89    21.60    25.73	|	 16324.76 31414.90 46106.89	|	     6.60     6.92    58.11	|	 17978.68 39652.21 49477.24	|	    35.25    27.13    34.82	|
  1619.90	|	 19856.69 33371.45 47072.90	|	     9.48    21.51    25.72	|	 16409.79 31494.36 46691.43	|	    10.40     8.99    58.74	|	 18332.58 39917.46 49822.96	|	    35.52    25.92    34.32	|
  1629.90	|	 19949.49 33586.10 47330.19	|	     9.08    21.42    25.74	|	 16532.51 31594.97 47280.39	|	    14.14    11.15    58.99	|	 18688.96 40170.58 50163.62	|	    35.75    24.71    33.81	|
  1639.90	|	 20038.39 33799.75 47587.91	|	     8.70    21.31    25.81	|	 16692.28 31717.76 47870.12	|	    17.81    13.42    58.89	|	 19047.34 40411.59 50499.14	|	    35.92    23.50    33.29	|
  1649.90	|	 20123.49 34012.28 47846.43	|	     8.32    21.19    25.91	|	 16888.46 31863.79 48456.98	|	    21.42    15.80    58.42	|	 19407.23 40640.54 50829.44	|	    36.05    22.29    32.77	|
  1659.90	|	 20204.92 34223.59 48106.14	|	     7.96    21.07    26.04	|	 17120.38 32034.12 49037.30	|	    24.96    18.28    57.58	|	 19768.15 40857.44 51154.44	|	    36.13    21.09    32.23	|
  1669.90	|	 20282.80 34433.55 48367.41	|	     7.61    20.93    26.22	|	 17387.33 32229.86 49607.23	|	    28.42    20.88    56.34	|	 20129.60 41062.33 51474.08	|	    36.16    19.89    31.69	|
  1679.90	|	 20357.25 34642.06 48630.67	|	     7.28    20.77    26.44	|	 17688.50 32452.20 50162.70	|	    31.80    23.60    54.68	|	 20491.10 41255.26 51788.29	|	    36.14    18.70    31.15	|
  1689.90	|	 20428.42 34848.97 48896.36	|	     6.96    20.61    26.71	|	 18022.94 32702.36 50699.26	|	    35.07    26.45    52.55	|	 20852.14 41436.28 52097.02	|	    36.06    17.51    30.60	|
  1699.90	|	 20496.48 35054.16 49164.98	|	     6.66    20.43    27.03	|	 18389.43 32981.67 51212.00	|	    38.20    29.43    49.90	|	 21212.23 41605.44 52400.22	|	    35.94    16.33    30.04	|
  1709.90	|	 20561.63 35257.48 49437.08	|	     6.38    20.23    27.41	|	 18786.37 33291.48 51695.36	|	    41.15    32.55    46.66	|	 21570.86 41762.82 52697.87	|	    35.77    15.15    29.49	|
  1719.90	|	 20624.16 35458.77 49713.31	|	     6.13    20.02    27.85	|	 19211.56 33633.14 52142.99	|	    43.84    35.80    42.74	|	 21927.54 41908.46 52989.94	|	    35.55    13.98    28.93	|
  1729.90	|	 20684.40 35657.92 49994.40	|	     5.93    19.80    28.38	|	 19661.95 34007.95 52547.51	|	    46.17    39.18    38.02	|	 22281.76 42042.46 53276.42	|	    35.28    12.82    28.37	|
  1739.90	|	 20742.86 35854.80 50281.22	|	     5.78    19.57    29.00	|	 20133.13 34416.93 52900.36	|	    47.96    42.63    32.38	|	 22633.02 42164.87 53557.32	|	    34.96    11.66    27.81	|
  1749.90	|	 20800.22 36049.36 50574.75	|	     5.71    19.34    29.73	|	 20618.70 34860.55 53191.54	|	    49.00    46.09    25.67	|	 22980.81 42275.76 53832.65	|	    34.59    10.52    27.26	|
  1759.90	|	 20857.46 36241.65 50876.15	|	     5.76    19.12    30.57	|	 21109.30 35338.21 53409.64	|	    48.90    49.40    17.74	|	 23324.61 42375.19 54102.44	|	    34.16     9.37    26.70	|
  1769.90	|	 20916.02 36431.94 51186.66	|	     5.98    18.94    31.55	|	 21591.24 35847.23 53542.17	|	    47.16    52.30     8.55	|	 23663.91 42463.19 54366.70	|	    33.69     8.23    26.15	|
  1779.90	|	 20977.91 36620.83 51507.51	|	     6.44    18.85    32.64	|	 22044.80 36381.40 53576.89	|	    43.09    54.34    -1.76	|	 23998.20 42539.76 54625.46	|	    33.16     7.09    25.60	|
  1789.90	|	 21045.92 36809.53 51839.60	|	     7.22    18.92    33.78	|	 22442.74 36928.74 53505.05	|	    35.91    54.80   -12.60	|	 24326.92 42604.88 54878.70	|	    32.58     5.94    25.05	|
  1799.90	|	 21123.54 37000.05 52182.83	|	     8.37    19.23    34.84	|	 22750.85 37469.20 53327.56	|	    25.09    52.81   -22.59	|	 24649.52 42658.52 55126.38	|	    31.93     4.79    24.49	|
  1809.90	|	 21214.39 37195.22 52535.33	|	     9.85    19.86    35.59	|	 22933.69 37974.45 53063.40	|	    11.05    47.69   -29.53	|	 24965.40 42700.65 55368.37	|	    31.23     3.64    23.91	|
  1819.90	|	 21320.93 37398.19 52892.87	|	    11.46    20.78    35.82	|	 22967.50 38413.18 52754.72	|	    -4.26    39.65   -31.21	|	 25273.92 42731.36 55604.52	|	    30.46     2.51    23.32	|
  1829.90	|	 21443.03 37611.24 53249.70	|	    12.91    21.84    35.45	|	 22854.12 38762.24 52459.13	|	   -17.91    30.07   -26.99	|	 25574.45 42750.84 55834.73	|	    29.63     1.40    22.72	|
  1839.90	|	 21577.84 37834.93 53600.46	|	    13.98    22.87    34.64	|	 22622.42 39015.85 52229.97	|	   -27.70    20.84   -18.30	|	 25866.34 42759.37 56058.99	|	    28.73     0.31    22.13	|
  1849.90	|	 21721.19 38068.17 53941.87	|	    14.62    23.74    33.62	|	 22314.79 39184.60 52100.10	|	   -33.15    13.23    -7.51	|	 26148.93 42757.21 56277.39	|	    27.77    -0.74    21.55	|
  1859.90	|	 21869.11 38309.05 54272.87	|	    14.91    24.40    32.58	|	 21971.53 39287.21 52080.14	|	   -35.00     7.62     3.44	|	 26421.51 42744.56 56490.03	|	    26.73    -1.78    20.98	|
  1869.90	|	 22018.62 38555.64 54593.86	|	    14.96    24.89    31.63	|	 21623.24 39343.03 52165.92	|	   -34.32     3.82    13.52	|	 26683.32 42721.59 56697.01	|	    25.62    -2.81    20.42	|
  1879.90	|	 22167.74 38806.27 54905.95	|	    14.85    25.22    30.81	|	 21290.38 39368.46 52346.35	|	   -32.04     1.48    22.34	|	 26933.52 42688.43 56898.41	|	    24.41    -3.82    19.86	|
  1889.90	|	 22315.33 39059.67 55210.44	|	    14.66    25.44    30.11	|	 20985.58 39376.22 52608.42	|	   -28.80     0.23    29.86	|	 27171.20 42645.23 57094.29	|	    23.11    -4.81    19.31	|
  1899.90	|	 22460.74 39314.86 55508.57	|	    14.42    25.58    29.53	|	 20716.21 39375.79 52939.58	|	   -25.01    -0.20    36.18	|	 27395.34 42592.21 57284.67	|	    21.70    -5.79    18.76	|
  1909.90	|	 22603.67 39571.13 55801.48	|	    14.17    25.66    29.06	|	 20486.27 39374.16 53328.59	|	   -20.95    -0.04    41.46	|	 27604.86 42529.61 57469.58	|	    20.18    -6.73    18.22	|
  1919.90	|	 22744.06 39827.92 56090.12	|	    13.91    25.69    28.68	|	 20297.70 39376.50 53765.73	|	   -16.76     0.57    45.83	|	 27798.59 42457.78 57649.06	|	    18.54    -7.63    17.68	|
  1929.90	|	 22881.97 40084.81 56375.32	|	    13.67    25.68    28.37	|	 20151.16 39386.67 54242.66	|	   -12.55     1.51    49.44	|	 27975.27 42377.17 57823.13	|	    16.77    -8.48    17.14	|
  1939.90	|	 23017.52 40341.45 56657.79	|	    13.44    25.64    28.13	|	 20046.59 39407.59 54752.23	|	    -8.37     2.71    52.38	|	 28133.58 42288.35 57991.85	|	    14.87    -9.27    16.61	|
  1949.90	|	 23150.92 40597.53 56938.14	|	    13.24    25.57    27.95	|	 19983.48 39441.52 55288.29	|	    -4.26     4.11    54.75	|	 28272.11 42192.03 58155.33	|	    12.82    -9.98    16.09	|
  1959.90	|	 23282.38 40852.80 57216.90	|	    13.06    25.48    27.81	|	 19961.07 39490.25 55845.47	|	    -0.23     5.66    56.61	|	 28389.39 42089.09 58313.67	|	    10.62   -10.59    15.58	|
  1969.90	|	 23412.14 41107.00 57494.50	|	    12.90    25.36    27.72	|	 19978.47 39555.20 56419.04	|	     3.70     7.35    58.03	|	 28483.92 41980.61 58467.08	|	     8.26   -11.08    15.10	|
  1979.90	|	 23540.46 41359.89 57771.36	|	    12.77    25.21    27.66	|	 20034.75 39637.57 57004.74	|	     7.54     9.14    59.05	|	 28554.15 41867.87 58615.78	|	     5.76   -11.44    14.65	|
  1989.90	|	 23667.58 41611.21 58047.82	|	    12.66    25.04    27.64	|	 20128.94 39738.37 57598.72	|	    11.28    11.03    59.69	|	 28598.52 41752.40 58760.12	|	     3.09   -11.63    14.23	|
  1999.90	|	 23793.74 41860.70 58324.20	|	    12.58    24.85    27.64	|	 20260.10 39858.47 58197.40	|	    14.93    13.00    59.99	|	 28615.49 41635.99 58900.50	|	     0.28   -11.62    13.86	|
  2009.90	|	 23919.19 42108.06 58600.79	|	    12.52    24.62    27.68	|	 20427.32 39998.68 58797.42	|	    18.49    15.05    59.96	|	 28603.60 41520.72 59037.47	|	    -2.68   -11.39    13.55	|
  2019.90	|	 24044.16 42352.99 58877.83	|	    12.48    24.36    27.74	|	 20629.71 40159.72 59395.53	|	    21.97    17.17    59.61	|	 28561.44 41408.96 59171.68	|	    -5.77   -10.91    13.31	|
  2029.90	|	 24168.85 42595.14 59155.58	|	    12.46    24.06    27.82	|	 20866.42 40342.30 59988.55	|	    25.36    19.36    58.94	|	 28487.81 41303.43 59303.94	|	    -8.97   -10.14    13.16	|
  2039.90	|	 24293.43 42834.15 59434.24	|	    12.46    23.73    27.92	|	 21136.61 40547.10 60573.27	|	    28.67    21.61    57.95	|	 28381.69 41207.17 59435.23	|	   -12.26    -9.05    13.12	|
  2049.90	|	 24418.08 43069.59 59714.03	|	    12.47    23.35    28.04	|	 21439.47 40774.79 61146.43	|	    31.89    23.94    56.62	|	 28242.37 41123.56 59566.71	|	   -15.61    -7.61    13.20	|
  2059.90	|	 24542.89 43301.05 59995.17	|	    12.49    22.93    28.19	|	 21774.17 41026.05 61704.57	|	    35.03    26.33    54.94	|	 28069.51 41056.31 59699.74	|	   -18.96    -5.78    13.43	|
  2069.90	|	 24667.94 43528.05 60277.85	|	    12.52    22.46    28.35	|	 22139.84 41301.57 62243.96	|	    38.08    28.79    52.87	|	 27863.26 41009.41 59835.92	|	   -22.27    -3.53    13.83	|
  2079.90	|	 24793.26 43750.09 60562.32	|	    12.54    21.94    28.54	|	 22535.51 41602.04 62760.51	|	    41.03    31.32    50.36	|	 27624.36 40987.12 59977.08	|	   -25.48    -0.85    14.43	|
  2089.90	|	 24918.81 43966.66 60848.81	|	    12.56    21.37    28.76	|	 22960.02 41928.13 63249.61	|	    43.85    33.91    47.37	|	 27354.27 40993.87 60125.28	|	   -28.50     2.28    15.25	|
  2099.90	|	 25044.50 44177.26 61137.64	|	    12.57    20.74    29.01	|	 23411.89 42280.48 63705.94	|	    46.49    36.57    43.80	|	 27055.27 41034.17 60282.84	|	   -31.24     5.86    16.30	|
  2109.90	|	 25170.22 44381.37 61429.17	|	    12.57    20.07    29.30	|	 23889.07 42659.64 64123.34	|	    48.90    39.27    39.56	|	 26730.64 41112.46 60452.23	|	   -33.61     9.87    17.62	|
  2119.90	|	 25295.82 44578.55 61723.88	|	    12.55    19.36    29.65	|	 24388.66 43065.98 64494.54	|	    50.95    42.00    34.54	|	 26384.74 41232.92 60636.05	|	   -35.48    14.28    19.19	|
  2129.90	|	 25421.17 44768.43 62022.36	|	    12.52    18.61    30.06	|	 24906.42 43499.55 64810.98	|	    52.50    44.71    28.58	|	 26023.10 41399.20 60836.83	|	   -36.74    19.02    21.01	|
  2139.90	|	 25546.23 44950.77 62325.39	|	    12.49    17.85    30.56	|	 25436.13 43959.82 65062.57	|	    53.29    47.32    21.54	|	 25652.30 41614.14 61056.88	|	   -37.29    23.99    23.04	|
  2149.90	|	 25671.18 45125.57 62633.97	|	    12.50    17.11    31.17	|	 25968.56 44445.03 65237.53	|	    52.97    49.66    13.23	|	 25279.85 41879.45 61298.15	|	   -37.06    29.07    25.24	|
  2159.90	|	 25796.58 45293.22 62949.30	|	    12.60    16.43    31.91	|	 26490.00 44951.12 65322.52	|	    50.98    51.42     3.54	|	 24913.75 42195.42 61562.06	|	   -36.02    34.10    27.56	|
  2169.90	|	 25923.67 45454.67 63272.65	|	    12.86    15.89    32.77	|	 26980.08 45469.68 65303.95	|	    46.55    52.03    -7.43	|	 24562.17 42560.76 61849.48	|	   -34.17    38.92    29.93	|
  2179.90	|	 26054.59 45611.80 63605.00	|	    13.38    15.59    33.69	|	 27409.55 45985.05 65171.88	|	    38.71    50.61   -18.97	|	 24232.92 42972.48 62160.71	|	   -31.57    43.35    32.31	|
  2189.90	|	 26192.46 45767.63 63946.16	|	    14.25    15.65    34.50	|	 27740.70 46471.55 64928.60	|	    26.86    46.10   -29.26	|	 23932.93 43425.94 62495.38	|	   -28.34    47.24    34.61	|
  2199.90	|	 26340.50 45926.19 64293.61	|	    15.39    16.13    34.90	|	 27935.75 46895.00 64600.54	|	    11.79    38.02   -35.41	|	 23667.73 43915.17 62852.40	|	   -24.64    50.49    36.77	|
  2209.90	|	 26500.32 46091.36 64642.00	|	    16.55    16.94    34.67	|	 27975.09 47223.49 64242.53	|	    -3.69    27.43   -35.03	|	 23441.05 44433.40 63229.98	|	   -20.67    53.04    38.71	|
  2219.90	|	 26670.40 46265.21 64984.91	|	    17.40    17.83    33.83	|	 27871.88 47443.14 63921.08	|	   -16.26    16.67   -28.40	|	 23254.72 44973.76 63625.76	|	   -16.60    54.92    40.40	|
  2229.90	|	 26846.80 46447.45 65317.55	|	    17.80    18.59    32.66	|	 27665.16 47563.07 63686.72	|	   -24.32     7.71   -18.11	|	 23109.00 45529.91 64036.99	|	   -12.56    56.21    41.80	|
  2239.90	|	 27025.15 46636.37 65637.96	|	    17.81    19.16    31.42	|	 27399.22 47605.76 63561.93	|	   -28.27     1.24    -6.85	|	 23003.07 46096.39 64460.85	|	    -8.65    57.01    42.92	|
  2249.90	|	 27202.05 46830.02 65946.34	|	    17.54    19.54    30.27	|	 27109.47 47595.30 63547.63	|	   -29.28    -2.99     3.82	|	 22935.48 46668.66 64894.56	|	    -4.90    57.38    43.78	|
  2259.90	|	 27375.29 47026.76 66243.91	|	    17.09    19.79    29.27	|	 26819.70 47551.71 63634.26	|	   -28.43    -5.48    13.29	|	 22904.47 47242.93 65335.55	|	    -1.34    57.41    44.38	|
  2269.90	|	 27543.63 47225.43 66532.17	|	    16.56    19.93    28.41	|	 26544.54 47490.03 63809.05	|	   -26.46    -6.68    21.46	|	 22908.11 47815.97 65781.47	|	     2.03    57.15    44.77	|
  2279.90	|	 27706.38 47425.21 66812.60	|	    15.98    20.01    27.70	|	 26292.70 47421.22 64059.42	|	   -23.83    -6.95    28.43	|	 22944.32 48385.01 66230.31	|	     5.18    56.62    44.97	|
  2289.90	|	 27863.25 47625.53 67086.48	|	    15.39    20.05    27.10	|	 26069.32 47353.23 64374.03	|	   -20.80    -6.55    34.33	|	 23010.88 48947.68 66680.39	|	     8.10    55.88    45.03	|
  2299.90	|	 28014.18 47826.03 67354.93	|	    14.80    20.05    26.61	|	 25877.45 47291.81 64743.05	|	   -17.54    -5.66    39.33	|	 23105.51 49502.03 67130.45	|	    10.79    54.96    44.97	|
  2309.90	|	 28159.20 48026.45 67618.88	|	    14.21    20.03    26.20	|	 25718.94 47241.12 65157.94	|	   -14.14    -4.43    43.53	|	 23225.93 50046.53 67579.56	|	    13.26    53.92    44.84	|
  2319.90	|	 28298.42 48226.58 67879.15	|	    13.64    20.00    25.87	|	 25594.84 47204.15 65611.35	|	   -10.67    -2.93    47.05	|	 23369.95 50580.05 68027.04	|	    15.51    52.77    44.65	|
  2329.90	|	 28432.00 48426.31 68136.42	|	    13.08    19.95    25.60	|	 25505.70 47183.04 66096.91	|	    -7.16    -1.26    49.97	|	 23535.57 51101.81 68472.37	|	    17.58    51.57    44.41	|
  2339.90	|	 28560.08 48625.53 68391.29	|	    12.54    19.89    25.38	|	 25451.75 47179.42 66609.07	|	    -3.63     0.55    52.38	|	 23720.97 51611.24 68915.14	|	    19.47    50.31    44.14	|
  2349.90	|	 28682.84 48824.14 68644.27	|	    12.01    19.83    25.22	|	 25432.99 47194.51 67142.94	|	    -0.12     2.48    54.32	|	 23924.50 52107.99 69354.99	|	    21.21    49.03    43.83	|
  2359.90	|	 28800.42 49022.07 68895.84	|	    11.51    19.76    25.10	|	 25449.33 47229.35 67694.15	|	     3.38     4.50    55.85	|	 24144.68 52591.78 69791.59	|	    22.80    47.73    43.49	|
  2369.90	|	 28912.99 49219.26 69146.43	|	    11.01    19.68    25.02	|	 25500.57 47284.81 68258.72	|	     6.86     6.61    57.00	|	 24380.15 53062.45 70224.65	|	    24.27    46.41    43.12	|
  2379.90	|	 29020.69 49415.63 69396.43	|	    10.53    19.59    24.98	|	 25586.53 47361.75 68832.96	|	    10.32     8.79    57.79	|	 24629.66 53519.86 70653.90	|	    25.61    45.08    42.73	|
  2389.90	|	 29123.65 49611.10 69646.22	|	    10.06    19.50    24.98	|	 25707.00 47460.96 69413.34	|	    13.77    11.06    58.23	|	 24892.06 53963.96 71079.08	|	    26.85    43.74    42.31	|
  2399.90	|	 29222.00 49805.60 69896.16	|	     9.61    19.40    25.01	|	 25861.80 47583.28 69996.42	|	    17.19    13.42    58.33	|	 25166.27 54394.68 71499.96	|	    27.98    42.40    41.87	|
  2409.90	|	 29315.86 49999.04 70146.62	|	     9.16    19.29    25.08	|	 26050.75 47729.60 70578.74	|	    20.60    15.86    58.08	|	 25451.27 54812.02 71916.32	|	    29.01    41.06    41.40	|
  2419.90	|	 29405.34 50191.33 70397.98	|	     8.73    19.17    25.19	|	 26273.65 47900.84 71156.76	|	    23.98    18.40    57.46	|	 25746.13 55215.98 72328.00	|	    29.95    39.73    40.93	|
  2429.90	|	 29490.55 50382.37 70650.63	|	     8.31    19.04    25.34	|	 26530.28 48098.01 71726.74	|	    27.34    21.05    56.46	|	 26049.92 55606.60 72734.81	|	    30.80    38.40    40.43	|
  2439.90	|	 29571.61 50572.03 70904.97	|	     7.90    18.89    25.53	|	 26820.38 48322.22 72284.63	|	    30.67    23.81    55.04	|	 26361.80 55983.92 73136.61	|	    31.56    37.07    39.93	|
  2449.90	|	 29648.64 50760.19 71161.48	|	     7.51    18.74    25.78	|	 27143.53 48574.63 72825.95	|	    33.95    26.69    53.14	|	 26680.94 56347.99 73533.29	|	    32.25    35.75    39.41	|
  2459.90	|	 29721.77 50946.73 71420.67	|	     7.12    18.57    26.07	|	 27499.11 48856.50 73345.69	|	    37.15    29.70    50.71	|	 27006.56 56698.90 73924.74	|	    32.86    34.44    38.88	|
  2469.90	|	 29791.18 51131.49 71683.11	|	     6.76    18.38    26.43	|	 27886.16 49169.14 73838.04	|	    40.23    32.85    47.65	|	 27337.92 57036.73 74310.89	|	    33.40    33.13    38.35	|
  2479.90	|	 29857.09 51314.35 71949.50	|	     6.42    18.19    26.86	|	 28303.17 49513.83 74296.28	|	    43.13    36.11    43.86	|	 27674.30 57361.58 74691.66	|	    33.87    31.84    37.81	|
  2489.90	|	 29919.79 51495.17 72220.63	|	     6.12    17.98    27.38	|	 28747.78 49891.74 74712.46	|	    45.73    39.49    39.21	|	 28015.04 57673.54 75067.02	|	    34.27    30.56    37.26	|
  2499.90	|	 29979.74 51673.86 72497.44	|	     5.88    17.76    28.00	|	 29216.26 50303.72 75077.15	|	    47.87    42.91    33.54	|	 28359.48 57972.73 75436.95	|	    34.61    29.28    36.72	|
  2509.90	|	 30037.55 51850.38 72781.06	|	     5.70    17.55    28.74	|	 29702.85 50749.87 75379.19	|	    49.30    46.30    26.65	|	 28707.02 58259.26 75801.43	|	    34.89    28.02    36.18	|
  2519.90	|	 30094.19 52024.86 73072.79	|	     5.65    17.36    29.62	|	 30198.62 51228.93 75605.63	|	    49.63    49.45    18.39	|	 29057.09 58533.23 76160.47	|	    35.11    26.77    35.63	|
  2529.90	|	 30151.06 52197.66 73374.05	|	     5.76    17.22    30.65	|	 30689.93 51737.07 75742.13	|	    48.30    52.05     8.66	|	 29409.14 58794.74 76514.08	|	    35.29    25.53    35.09	|
