t		|				r1			|			v1				|				r2			|			v2				|				r3			|			v3				|
   249.90	|	  3909.01  5229.31  6921.24	|	     8.78    17.01    25.31	|	  1319.96  2998.70 10692.06	|	    24.86    25.44    47.23	|	   605.48  7220.96  7612.32	|	    27.47    54.48    49.69	|
   259.90	|	  3994.39  5400.04  7175.77	|	     8.31    17.14    25.60	|	  1574.81  3259.57 11154.08	|	    26.09    26.72    45.16	|	   897.97  7753.37  8105.69	|	    30.95    51.96    48.95	|
   269.90	|	  4075.35  5572.15  7433.23	|	     7.89    17.29    25.90	|	  1841.39  3532.89 11595.13	|	    27.21    27.93    43.04	|	  1223.01  8259.45  8590.64	|	    33.98    49.23    48.01	|
   279.90	|	  4152.41  5745.89  7693.86	|	     7.53    17.46    26.23	|	  2118.67  3817.96 12014.65	|	    28.23    29.07    40.86	|	  1576.18  8737.55  9065.41	|	    36.57    46.37    46.92	|
   289.90	|	  4226.12  5921.41  7957.85	|	     7.22    17.65    26.57	|	  2405.70  4114.16 12412.03	|	    29.16    30.16    38.61	|	  1953.07  9186.64  9528.70	|	    38.73    43.44    45.72	|
   299.90	|	  4296.98  6098.82  8225.36	|	     6.96    17.84    26.93	|	  2701.52  4420.92 12786.57	|	    29.99    31.19    36.28	|	  2349.50  9606.24  9979.58	|	    40.49    40.48    44.45	|
   309.90	|	  4365.50  6278.18  8496.55	|	     6.75    18.03    27.31	|	  3005.16  4737.72 13137.44	|	    30.72    32.17    33.88	|	  2761.54  9996.33 10417.45	|	    41.86    37.54    43.12	|
   319.90	|	  4432.13  6459.51  8771.52	|	     6.58    18.23    27.69	|	  3315.66  5064.06 13463.76	|	    31.36    33.10    31.37	|	  3185.56 10357.22 10841.98	|	    42.89    34.65    41.78	|
   329.90	|	  4497.31  6642.80  9050.40	|	     6.46    18.43    28.09	|	  3632.00  5399.46 13764.49	|	    31.89    33.98    28.76	|	  3618.26 10689.46 11253.04	|	    43.60    31.82    40.43	|
   339.90	|	  4561.43  6828.03  9333.29	|	     6.37    18.62    28.49	|	  3953.07  5743.44 14038.46	|	    32.31    34.81    26.02	|	  4056.66 10993.80 11650.71	|	    44.03    29.07    39.10	|
   349.90	|	  4624.89  7015.15  9620.31	|	     6.33    18.81    28.91	|	  4277.68  6095.52 14284.37	|	    32.59    35.59    23.14	|	  4498.11 11271.11 12035.19	|	    44.22    26.41    37.80	|
   359.90	|	  4688.06  7204.12  9911.59	|	     6.32    18.99    29.34	|	  4604.49  6455.16 14500.70	|	    32.74    36.32    20.10	|	  4940.22 11522.30 12406.77	|	    44.17    23.85    36.53	|
   369.90	|	  4751.31  7394.92 10207.25	|	     6.34    19.17    29.79	|	  4931.96  6821.79 14685.73	|	    32.72    36.99    16.88	|	  5380.85 11748.34 12765.82	|	    43.93    21.38    35.29	|
   379.90	|	  4815.01  7587.50 10507.44	|	     6.41    19.35    30.25	|	  5258.30  7194.75 14837.51	|	    32.51    37.59    13.44	|	  5818.12 11950.14 13112.79	|	    43.50    19.00    34.11	|
   389.90	|	  4879.55  7781.87 10812.36	|	     6.51    19.53    30.73	|	  5581.34  7573.23 14953.81	|	    32.06    38.09     9.77	|	  6250.30 12128.59 13448.12	|	    42.91    16.71    32.97	|
   399.90	|	  4945.35  7978.05 11122.19	|	     6.66    19.71    31.24	|	  5898.42  7956.21 15032.07	|	    31.31    38.48     5.83	|	  6675.83 12284.51 13772.29	|	    42.17    14.49    31.87	|
   409.90	|	  5012.88  8176.09 11437.20	|	     6.86    19.90    31.77	|	  6206.22  8342.39 15069.42	|	    30.18    38.72     1.59	|	  7093.27 12418.59 14085.75	|	    41.29    12.34    30.83	|
   419.90	|	  5082.72  8376.11 11757.64	|	     7.12    20.11    32.33	|	  6500.47  8729.98 15062.72	|	    28.57    38.75    -2.98	|	  7501.23 12531.40 14388.93	|	    40.28    10.23    29.81	|
   429.90	|	  5155.56  8578.33 12083.83	|	     7.46    20.34    32.92	|	  6775.59  9116.46 15008.63	|	    26.33    38.48    -7.89	|	  7898.34 12623.39 14682.13	|	    39.12     8.17    28.83	|
   439.90	|	  5232.28  8783.08 12416.06	|	     7.90    20.62    33.53	|	  7024.19  9498.18 14903.97	|	    23.23    37.77   -13.08	|	  8283.17 12694.83 14965.52	|	    37.82     6.13    27.85	|
   449.90	|	  5314.03  8990.88 12754.59	|	     8.47    20.96    34.17	|	  7236.31  9869.64 14746.45	|	    18.98    36.38   -18.42	|	  8654.21 12746.01 15238.98	|	    36.36     4.12    26.84	|
